업체명,업체주소,위도,경도
경일건업,서울특별시 강북구 인수봉로 162 (수유동),,
온누리종합인테리어,서울특별시 동작구 사당로16길 52 1층 (사당동),,
궁전인테리어,서울특별시 동작구 사당로16길 72 (사당동),,
명성건업,서울특별시 동작구 사당로20나길 26 B층 2호 (사당동),,
창문이야기,경기도 수원시 권선구 정조로 251 창문이야기 (대황교동),,
(주)어울리,서울특별시 관악구 호암로 598 2층 (신림동),,
길원건설,서울특별시 강북구 삼양로149길 45 (우이동),,
동양공사,서울특별시 동작구 사당로16다길 57 (사당동 240-15),,
준시스템(우리동네준인테리어),서울특별시 동작구 사당로12길 23 1층 1호 (사당동),,
부흥,서울특별시 중랑구 동일로151길 60 (묵동),,
사회적협동조합 우리집 샬롬인 리모델링,서울특별시 서대문구 증가로28안길 23-15 1층 101호(북가좌동),,
한일건축공사,서울특별시 종로구 창신5나길 2 1층 (창신동),,
협성설비공사,서울특별시 관악구 난곡로 125 제3-가1호 1층 3호,,
우림종합공사,서울특별시 관악구 난곡로 167 105-501 (신림동),,
회강개발,서울특별시 구로구 고척로55길 40 (고척동),,
미라인테리어,서울특별시 중랑구 동일로169길 8 1층 (묵동),,
(주)행복한집,서울특별시 양천구 남부순환로46길 32 1층 (신월동),,
금호지붕,서울특별시 중랑구 겸재로64길 33 (면목동),,
동효창호,서울특별시 중랑구 중랑천로 30 (면목동),,
서울지붕,서울특별시 종로구 창신길 110 지층 (창신동),,
우성건축,서울특별시 중랑구 중랑역로 138-2 2층 (묵동),,
유진종합건축,서울특별시 도봉구 마들로 742 거봉빌딩 1층 3호,,
가온 인테리어,경기도 의정부시 둔야로45번길 15 1층 (의정부동),,
광진건축설비,"서울특별시 강북구 삼각산로28길 7 101, 102호 (수유동)",,
진성건설개발(주),서울특별시 은평구 연서로15길 10 2층(구산동),,
공정건축협동조합,서울특별시 은평구 응암로 326-2 (응암동),,
은평우리동네맥가이버협동조합,"서울특별시 은평구 통일로 890 3층(불광동, 금왕빌딩)",,
한두레협동조합,서울특별시 은평구 통일로87길 6-5 3층 1호,,
사회적협동조합 노느매기,서울특별시 영등포구 버드나루로23길 24 (당산동),,
